StationCode,New_Lat,New_Long,AREA_SQKM,AtmCa,AtmMg,AtmSO4,BDH_AVE,CaO_Mean,ELEV_RANGE,EVI_MaxAve,KFCT_AVE,LPREM_mean,LST32AVE,MAX_ELEV,MAXWD_WS,MEANP_WS,MgO_Mean,MINP_WS,N_MEAN,P_MEAN,PPT_00_09,PRMH_AVE,PSA6,PSA8,S_Mean,SITE_ELEV,SumAve_P,TEMP_00_09,TMAX_WS,UCS_Mean,XerMtn,XWD_WS,Version
504BCCSSM,39.857153,-121.709701,167.7,0.0384,0.0266,0.2034,1.2318,6.3721,1569,4523.7455,0.1611,-0.7052,131.6392,1833,13.5231,1682.0287,3.443,3.1667,0.0119,0.2443,132108,2.6931,Chaparral,Interior Chaparral,0.0829,264,3382.2348,2220.7,301.1717,99.8079,0,91.4135,Pro_v0.3.3
504BCCUF,39.804137,-121.72865,180.66,0.0385,0.027,0.2046,1.254,6.8421,1629,4493.5014,0.1643,-0.7049,128.7946,1833,13.2926,1654.3844,3.5736,3.0047,0.0132,0.2392,115580,2.7861,Chaparral,Interior Chaparral,0.1282,204,3301.5613,2291.6001,304.214,98.4081,0,89.7343,Pro_v0.3.3
